Series Code,Topic,Indicator Name,Long definition,Periodicity,Source,Statistical concept and methodology,License Type
EG.USE.PCAP.KG.OE,Environment: Energy production & use,Energy use (kg of oil equivalent per capita),"Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport.",Annual,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/","Total energy use refers to the use of primary energy before transformation to other end-use fuels (such as electricity and refined petroleum products). It includes energy from combustible renewables and waste - solid biomass and animal products, gas and liquid from biomass, and industrial and municipal waste. Biomass is any plant matter used directly as fuel or converted into fuel, heat, or electricity. World Bank population estimates are used to calculate per capita data.

Energy data are compiled by the International Energy Agency (IEA). IEA data for economies that are not members of the Organisation for Economic Co-operation and Development (OECD) are based on national energy data adjusted to conform to annual questionnaires completed by OECD member governments.

Data for combustible renewables and waste are often based on small surveys or other incomplete information and thus give only a broad impression of developments and are not strictly comparable across countries. The IEA reports include country notes that explain some of these differences. All forms of energy - primary energy and primary electricity - are converted into oil equivalents. A notional thermal efficiency of 33 percent is assumed for converting nuclear electricity into oil equivalents and 100 percent efficiency for converting hydroelectric power.",Use and distribution of these data are subject to IEA terms and conditions.
EN.ATM.CO2E.PC,Environment: Emissions,CO2 emissions (metric tons per capita),"Carbon dioxide emissions are those stemming from the burning of fossil fuels and the manufacture of cement. They include carbon dioxide produced during consumption of solid, liquid, and gas fuels and gas flaring.",Annual,"Carbon Dioxide Information Analysis Center, Environmental Sciences Division, Oak Ridge National Laboratory, Tennessee, United States.","Carbon dioxide emissions, largely by-products of energy production and use, account for the largest share of greenhouse gases, which are associated with global warming. Anthropogenic carbon dioxide emissions result primarily from fossil fuel combustion and cement manufacturing. In combustion different fossil fuels release different amounts of carbon dioxide for the same level of energy use: oil releases about 50 percent more carbon dioxide than natural gas, and coal releases about twice as much. Cement manufacturing releases about half a metric ton of carbon dioxide for each metric ton of cement produced. Data for carbon dioxide emissions include gases from the burning of fossil fuels and cement manufacture, but excludes emissions from land use such as deforestation.",CC BY-4.0
EN.ATM.METH.PC,Environment: Emissions & pollution,Methane emissions (metric tons of CO2 equivalent per capita),Methane emissions are those stemming from human activities such as agriculture and from industrial methane production.,Annual,"Derived using data from European Commission, Joint Research Centre (JRC), Netherlands Environmental Assessment Agency (PBL), Emission Database for Global Atmospheric Research (EDGAR) and World Bank population estimates.",,CC BY-4.0
EN.ATM.NOXE.PC,Environment: Emissions & pollution,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),"Nitrous oxide emissions are emissions from agricultural biomass burning, industrial activities, and livestock management.",Annual,"Derived using data from European Commission, Joint Research Centre (JRC), Netherlands Environmental Assessment Agency (PBL), Emission Database for Global Atmospheric Research (EDGAR) and World Bank population estimates.",,CC BY-4.0
EN.ATM.PM25.MC.M3,Environment: Emissions,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Population-weighted exposure to ambient PM2.5 pollution is defined as the average level of exposure of a nation's population to concentrations of suspended particles measuring less than 2.5 microns in aerodynamic diameter, which are capable of penetrating deep into the respiratory tract and causing severe health damage. Exposure is calculated by weighting mean annual concentrations of PM2.5 by population in both urban and rural areas.",Annual,"Brauer, M. et al. 2017, for the Global Burden of Disease Study 2017.","A. van Donkelaar, R.V. Martin, M. Brauer, N.C. Hsu, R.A. Kahn, R.C. Levy, A. Lyapustin, A.M. Sayer, D.M. Winker, ""Global Estimates of Fine Particulate Matter using a Combined Geophysical-Statistical Method with Information from Satellites, Models, and Monitors,"" Environ. Sci. Technol 50, no. 7 (2016): 3762–3772; GBD 2017 Risk Factors Collaborators, ""Global, regional, and national comparative risk assessment of 84 behavioural, environmental and occupational, and metabolic risks or clusters of risks for 194 countries and territories, 1990–2017: a systematic analysis for the Global Burden of Disease Study 2017,"" Lancet 392 (2018): 1923-1994; Shaddick G, Thomas M, Amini H, Broday DM, Cohen A, Frostad J, Green A, Gumy S, Liu Y, Martin RV, Prüss-Üstün A, Simpson D, van Donkelaar A, Brauer M. Data integration for the assessment of population exposure to ambient air pollution for global burden of disease assessment. Environ Sci Technol. 2018 Jun 29. Data provided by Institute for Health Metrics and Evaluation, University of Washington, Seattle. Data on exposure to ambient air pollution are derived from estimates of annual concentrations of very fine particulates produced by the Global Burden of Disease study, an international scientific effort led by the Institute for Health Metrics and Evaluation at the University of Washington. Estimates of annual concentrations are generated by combining data from atmospheric chemistry transport models, satellite observations of aerosols in the atmosphere, and ground-level monitoring of particulates. Exposure to concentrations of PM2.5 in both urban and rural areas is weighted by population and is aggregated at the national level.",CC BY-4.0
EN.CLC.CDDY.XD,Environment: Environment/climate risk & resilience,Cooling Degree Days (projected change in number of degree Celsius),A cooling degree day (CDD) is a measurement designed to quantify the demand for energy needed to cool buildings. It is the number of degrees that a day's average temperature is above 18°C.,Annual,"World Bank, Climate Change Knowledge Portal (https://climateknowledgeportal.worldbank.org)","Studies have shown that when the outside temperature reaches that level, people begin to consider cooling the buildings. CDD can describe the overall need for cooling as part of the planning for residential or commercial buildings. In general, energy, agriculture, construction, and other sectors can use this information to understand the potential impacts of climate on energy demand, growing season, and outdoor work time.",CC BY-4.0
EN.CLC.GHGR.MT.CE,Environment: Emissions,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),"GHG net emissions/removals by LUCF refers to changes in atmospheric levels of all greenhouse gases attributable to forest and land-use change activities, including but not limited to (1) emissions and removals of CO2 from decreases or increases in biomass stocks due to forest management, logging, fuelwood collection, etc.; (2) conversion of existing forests and natural grasslands to other land uses; (3) removal of CO2 from the abandonment of formerly managed lands (e.g. croplands and pastures); and (4) emissions and removals of CO2 in soil associated with land-use change and management. For Annex-I countries under the UNFCCC, these data are drawn from the annual GHG inventories submitted to the UNFCCC by each country; for non-Annex-I countries, data are drawn from the most recently submitted National Communication where available. Because of differences in reporting years and methodologies, these data are not generally considered comparable across countries. Data are in million metric tons.",Annual,United Nations Framework Convention on Climate Change.,,CC BY-4.0
EN.CLC.HEAT.XD,Environment: Environment/climate risk & resilience,Heat Index 35 (projected change in days),Total count of days per year where the daily mean Heat Index rose above 35°C. The Heat Index is a measure of how hot it really feels when relative humidity is factored in with the actual air temperature.,Annual,"World Bank, Climate Change Knowledge Portal (https://climateknowledgeportal.worldbank.org)","These days represent extremely uncomfortable conditions and are primarily found in monsoon regions as well as some subtropical locations with high humidity. Extreme heat can cause illnesses, including heat cramps, fainting, heat exhaustion, heat stroke, and death. But more subtle changes in temperature may also shift the incidence, seasonal transmission, and geographic range of vector-borne diseases such as malaria and dengue fever, as well as many water related diseases causing diarrheal and skin disease outbreaks.",CC BY-4.0
EN.CLC.MDAT.ZS,Environment: Land use,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)","Droughts, floods and extreme temperatures is the annual average percentage of the population that is affected by natural disasters classified as either droughts, floods, or extreme temperature events. A drought is an extended period of time characterized by a deficiency in a region's water supply that is the result of constantly below average precipitation. A drought can lead to losses to agriculture, affect inland navigation and hydropower plants, and cause a lack of drinking water and famine. A flood is a significant rise of water level in a stream, lake, reservoir or coastal region. Extreme temperature events are either cold waves or heat waves. A cold wave can be both a prolonged period of excessively cold weather and the sudden invasion of very cold air over a large area. Along with frost it can cause damage to agriculture, infrastructure, and property. A heat wave is a prolonged period of excessively hot and sometimes also humid weather relative to normal climate patterns of a certain region. Population affected is the number of people injured, left homeless or requiring immediate assistance during a period of emergency resulting from a natural disaster; it can also include displaced or evacuated people. Average percentage of population affected is calculated by dividing the sum of total affected for the period stated by the sum of the annual population figures for the period stated.",Annual,"EM-DAT: The OFDA/CRED International Disaster Database: www.emdat.be, Université Catholique de Louvain, Brussels (Belgium), World Bank.","This indicator measures vulnerability of population affected by droughts, floods, and extreme temperature. A drought is an extended period of deficiency in a region's water supply as a result of below average precipitation.",CC BY-4.0
EN.CLC.PRCP.XD,Environment: Environment/climate risk & resilience,"Maximum 5-day Rainfall, 25-year Return Level (projected change in mm)",A 25-year return level of the 5-day cumulative precipitation is the maximum precipitation sum over any 5-day period that can be expected once in an average 25-year period.,Annual,"World Bank, Climate Change Knowledge Portal (https://climateknowledgeportal.worldbank.org)","Rare precipitation events are often referred to as events of a certain return level. It is possible that two or more events of that magnitude occur in much shorter intervals. However, such events would only happen about once every 25 years in the long term. The maximum precipitation accumulated over a 5-day period represents a proxy index for medium severity floods induced by prolonged and intense precipitation, which is pertinent for infrastructures, agricultural productivity, and disaster risk management.",CC BY-4.0
EN.CLC.SPEI.XD,Environment: Environment/climate risk & resilience,"Mean Drought Index (projected change, unitless)","The Standardized Precipitation Evapotranspiration Index (SPEI), or Mean Drought Index, calculated for a 12-month period, has been found to be closely related to drought impacts on ecosystems, crop, and water resources. The SPEI is designed to take into account both precipitation and potential evapotranspiration (PET) in determining drought.",Annual,"World Bank, Climate Change Knowledge Portal (https://climateknowledgeportal.worldbank.org)","Drought can be expressed in many ways, from a simple precipitation deficits to complex estimates of remaining soil moisture. It is widely used today as a global measure for drought monitoring over various cumulative time intervals. Positive values indicate positive water balance (or wet) conditions and negative values indicate negative water balance (or dry) conditions. SPEI can be used for determining the onset, duration and magnitude of drought conditions with respect to normal conditions in a variety of natural and managed systems such as crops, ecosystems, rivers, water resources, etc.",CC BY-4.0
EN.MAM.THRD.NO,Environment: Biodiversity & protected areas,"Mammal species, threatened","Mammal species are mammals excluding whales and porpoises. Threatened species are the number of species classified by the IUCN as endangered, vulnerable, rare, indeterminate, out of danger, or insufficiently known.",Annual,"United Nations Environmental Program and the World Conservation Monitoring Centre, and International Union for Conservation of Nature, Red List of Threatened Species.","Species assessed as Critically Endangered (CR), Endangered (EN) or Vulnerable (VU) are referred to as ""threatened"" species. The International Union for Conservation of Nature (IUCN) Red List of Threatened Species collects and disseminates information on the global threated species.

Proportion of threatened species is only reported for the more completely evaluated groups (i.e., >90% of species evaluated). Also, the reported percentage of threatened species for each group is presented as a best estimate within a range of possible values bounded by lower and upper estimates:

Lower estimate = % threatened extant species if all Data Deficient species are not threatened, i.e., (CR + EN + VU) / (total assessed - EX)

Best estimate = % threatened extant species if Data Deficient species are equally threatened as data sufficient species, i.e., (CR + EN + VU) / (total assessed - EX - DD)

Upper estimate = % threatened extant species if all Data Deficient species are threatened, i.e., (CR + EN + VU + DD) / (total assessed - EX)

Additional information on ecology and habitat preferences, threats, and conservation action are also collated and assessed as part of Red List process.",CC BY-4.0
EN.POP.DNST,Environment: Density & urbanization,Population density (people per sq. km of land area),"Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.",Annual,Food and Agriculture Organization and World Bank population estimates.,"Population density is midyear population divided by land area in square kilometers. This ratio can be calculated for any territorial unit for any point in time, depending on the source of the population data. Populationestimates are prepared by World Bank staff from variety of sources. They are based on the de facto definition of population and include all residents regardless of legal status or citizenship, within the physical boundaries of a country and under the jurisdiction of that country's political control. Refugees not permanently settled in the country of asylum are considered part of the population of their country of origin. Population numbers are either current census data or historical census data extrapolated through demographic methods. The count also excludes visitors from overseas.

Population density is calculated by dividing midyear population by land area in a country. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship - except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.",CC BY-4.0
ER.H2O.FWTL.ZS,Environment: Freshwater,"Annual freshwater withdrawals, total (% of internal resources)","Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. Data are for the most recent year available for 1987-2002.",Annual,"Food and Agriculture Organization, AQUASTAT data.","Annual freshwater withdrawals are total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where water reuse is significant. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes.",CC BY-4.0
ER.PTD.TOTL.ZS,Environment: Biodiversity & protected areas,Terrestrial and marine protected areas (% of total territorial area),"Terrestrial protected areas are totally or partially protected areas of at least 1,000 hectares that are designated by national authorities as scientific reserves with limited public access, national parks, natural monuments, nature reserves or wildlife sanctuaries, protected landscapes, and areas managed mainly for sustainable use. Marine protected areas are areas of intertidal or subtidal terrain--and overlying water and associated flora and fauna and historical and cultural features--that have been reserved by law or other effective means to protect part or all of the enclosed environment. Sites protected under local or provincial law are excluded.",Annual,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).","This indicator is calculated using all the nationally designated protected areas recorded in the World Database on Protected Areas (WDPA) whose location and extent is known. The WDPA database is stored within a Geographic Information System (GIS) that stores information about protected areas such as their name, type and date of designation, documented area, geographic location (point) and/or boundary (polygon).

A GIS analysis is used to calculate terrestrial and marine protection. For this a global protected area layer is created by combining the polygons and points recorded in the WDPA. Circular buffers are created around points based on the known extent of protected areas for which no polygon is available. Annual protected area layers are created by dissolving the global protected area layer by the known year of establishment of protected areas recorded in the WDPA. The annual protected area layers are overlaid with country/territory boundaries, coastlines and buffered coastlines (delineating the territorial waters) to obtain the absolute coverage (in square kilometers) of protected areas by country/territory per year from 1990 to present. The total area of a country's/territory's terrestrial protected areas and marine protected areas in territorial waters is divided by the total area of its land areas (including inland waters) and territorial waters to obtain the relative coverage (percentage) of protected areas.",Use and distribution of these data are subject to Protected Planet terms and conditions.
